NEQ,IND_FAIL,DAT_IMMAT,COD_REGIM_JURI_x,COD_INTVAL_EMPLO_QUE,DAT_CESS_PREVU,COD_STAT_IMMAT,COD_FORME_JURI,DAT_STAT_IMMAT,COD_REGIM_JURI_CONSTI,DAT_DEPO_DECLR,AN_DECL,AN_PROD,DAT_LIMIT_PROD,AN_PROD_PRE,DAT_LIMIT_PROD_PRE,DAT_MAJ_INDEX_NOM,COD_ACT_ECON_CAE,NO_ACT_ECON_ASSUJ,DESC_ACT_ECON_ASSUJ,COD_ACT_ECON_CAE2,NO_ACT_ECON_ASSUJ2,DESC_ACT_ECON_ASSUJ2,NOM_LOCLT_CONSTI,DAT_CONSTI,IND_CONVEN_UNMN_ACTNR,IND_RET_TOUT_POUVR,IND_LIMIT_RESP,DAT_DEB_RESP,DAT_FIN_RESP,OBJET_SOC,NO_MTR_VOLONT,ADR_DOMCL_ADR_DISP,ADR_DOMCL_LIGN1_ADR,ADR_DOMCL_LIGN2_ADR,ADR_DOMCL_LIGN3_ADR,ADR_DOMCL_LIGN4_ADR,COD_TYP_CHANG,COD_REGIM_JURI_y,AUTR_REGIM_JURI,NOM_LOCLT,DAT_EFCTVT_x,NO_SUF_ETAB,IND_ETAB_PRINC,IND_SALON_BRONZ,IND_VENTE_TABAC_DETL,IND_DISP_x,LIGN1_ADR_x,LIGN2_ADR_x,LIGN3_ADR_x,LIGN4_ADR_x,COD_ACT_ECON,DESC_ACT_ECON_ETAB,NO_ACT_ECON_ETAB,COD_ACT_ECON2,DESC_ACT_ECON_ETAB2,NO_ACT_ECON_ETAB2,NOM_ETAB,NEQ_ASSUJ_REL,DENOMN_SOC,COD_RELA_ASSUJ,DAT_EFCTVT_y,IND_DISP_y,LIGN1_ADR_y,LIGN2_ADR_y,LIGN3_ADR_y,LIGN4_ADR_y,NOM_ASSUJ,NOM_ASSUJ_LANG_ETRNG,STAT_NOM,TYP_NOM_ASSUJ,DAT_INIT_NOM_ASSUJ,DAT_FIN_NOM_ASSUJ
1140101412,O,1994-02-18,24,O,,IM,CIE,1994-02-18,21,2010-08-25,2010,2021,2021-11-15,2020,2020-11-15,2009-12-17,2599,1,Autres industries du bois (rabotage et sciage),,,,QUÉBEC,1979-05-28,N,,,,,,,N,200-140  Grande Allée E,Québec (Québec),,G1R5P7,CONTN,400,,,1994-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,LES BOIS ROY & FILS INC.,,V,N,2009-12-15,
1140151185,N,1994-03-07,24,F,,RO,CIE,2015-11-02,400,2015-01-15,2014,2021,2021-11-15,2020,2020-11-15,2015-11-02 13:26,2599,1,MANUFACTURIER DE CLÔTURES DÉCORATIVES,2693,2,MANUFACTURIER DE MEUBLES DE JARDINS,QUÉBEC,1969-11-25,N,,,,,,,N,50  1re Rue O,Saint-Martin (Québec),,G0M1B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOBILIER RUSTIQUE (BEAUCE) INC.,,A,N,1969-11-25,2015-11-02
1140151185,N,1994-03-07,24,F,,RO,CIE,2015-11-02,400,2015-01-15,2014,2021,2021-11-15,2020,2020-11-15,2015-11-02 13:26,2599,1,MANUFACTURIER DE CLÔTURES DÉCORATIVES,2693,2,MANUFACTURIER DE MEUBLES DE JARDINS,QUÉBEC,1969-11-25,N,,,,,,,N,50  1re Rue O,Saint-Martin (Québec),,G0M1B0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MOBILIER RUSTIQUE,,A,A,2014-02-24,2015-11-02
1140179301,,1994-03-16,24,A,,RO,CIE,2015-01-29,400,2015-01-29,2014,2021,2021-11-15,2020,2020-11-15,2006-09-13,2599,1,EXPLOITATION FORESTIÈRE,,,,QUÉBEC,1994-03-15,N,,,,,,,N,1210  rte Henderson,Saint-Malachie (Québec),,G0R3N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUINCAILLERIE J.L. COMEAU INC.,,A,N,1994-03-15,2015-01-29
1140179301,,1994-03-16,24,A,,RO,CIE,2015-01-29,400,2015-01-29,2014,2021,2021-11-15,2020,2020-11-15,2006-09-13,2599,1,EXPLOITATION FORESTIÈRE,,,,QUÉBEC,1994-03-15,N,,,,,,,N,1210  rte Henderson,Saint-Malachie (Québec),,G0R3N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUINCAILLERIE J.L. COMEAU INC.,,A,A,2006-09-13,2015-01-29
1140194821,,1994-03-22,24,C,,RO,CIE,2011-05-31,400,2010-03-17,2009,2021,2021-11-15,2020,2020-11-15,2011-05-31 10:57,2599,1,FABRICATION D'AUTRES PRODUITS EN BOIS,,,,QUÉBEC,1973-11-09,N,,,,,,,N,"709, LÉVEILLÉ",TERREBONNE (QUÉBEC),,J6W1Z9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. SAVOIE INC.,,A,N,1973-11-09,2011-05-31
1140429649,,1994-05-17,400,A,,RO,CIE,1999-04-26,400,1999-03-15,1998,2021,2021-11-15,2020,2020-11-15,1999-04-26,2599,1,FABRICATION DE MODÈLES SUR BOIS ET MÉTAL,,,,QUÉBEC,1984-09-05,N,,,,,,,N,"1874, ST-JEAN C.P. 22",PLESSISVILLE (QUÉBEC),,G6L2Y6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9060-2046 QUÉBEC INC.,,A,M,1998-02-23,1999-04-26
1140429649,,1994-05-17,400,A,,RO,CIE,1999-04-26,400,1999-03-15,1998,2021,2021-11-15,2020,2020-11-15,1999-04-26,2599,1,FABRICATION DE MODÈLES SUR BOIS ET MÉTAL,,,,QUÉBEC,1984-09-05,N,,,,,,,N,"1874, ST-JEAN C.P. 22",PLESSISVILLE (QUÉBEC),,G6L2Y6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MODÈLERIE G.L.T. INC.,,A,N,1984-09-05,1998-02-23
1140503252,N,1994-05-31,104,H,,RO,CIE,2012-10-04,104,2012-07-09,2011,2021,2021-11-15,2020,2020-11-15,2012-10-04 12:52,2593,1,MANUFACTURIERS DE PANNEAUX PARTICULES ET MDF,2522,2,Fabrication de panneaux en mélamine,CANADA,1994-02-28,N,,,,,,,N,500-2540  boul. Daniel-Johnson,Laval (Québec),,H7T2S3,,,,,,,,,,,,,,,,,,,,,,,PANNEAUX P.F.P. INC.,FS,1994-02-28,N,"1195, AVENUE LAVIGERIE",3 IÈME ÉTAGE,SAINTE-FOY (QUÉBEC),G1V4N3,VICPLY,,A,A,2002-11-26,2009-06-15
1140503252,N,1994-05-31,104,H,,RO,CIE,2012-10-04,104,2012-07-09,2011,2021,2021-11-15,2020,2020-11-15,2012-10-04 12:52,2593,1,MANUFACTURIERS DE PANNEAUX PARTICULES ET MDF,2522,2,Fabrication de panneaux en mélamine,CANADA,1994-02-28,N,,,,,,,N,500-2540  boul. Daniel-Johnson,Laval (Québec),,H7T2S3,,,,,,,,,,,,,,,,,,,,,,,PANNEAUX P.F.P. INC.,FS,1994-02-28,N,"1195, AVENUE LAVIGERIE",3 IÈME ÉTAGE,SAINTE-FOY (QUÉBEC),G1V4N3,UNIRES,,A,A,1994-05-31,2012-10-04
1140503252,N,1994-05-31,104,H,,RO,CIE,2012-10-04,104,2012-07-09,2011,2021,2021-11-15,2020,2020-11-15,2012-10-04 12:52,2593,1,MANUFACTURIERS DE PANNEAUX PARTICULES ET MDF,2522,2,Fabrication de panneaux en mélamine,CANADA,1994-02-28,N,,,,,,,N,500-2540  boul. Daniel-Johnson,Laval (Québec),,H7T2S3,,,,,,,,,,,,,,,,,,,,,,,PANNEAUX P.F.P. INC.,FS,1994-02-28,N,"1195, AVENUE LAVIGERIE",3 IÈME ÉTAGE,SAINTE-FOY (QUÉBEC),G1V4N3,UNIBORD CANADA INC. (DIVISION LA BAIE),,A,A,2007-12-10,2012-10-04
1140503252,N,1994-05-31,104,H,,RO,CIE,2012-10-04,104,2012-07-09,2011,2021,2021-11-15,2020,2020-11-15,2012-10-04 12:52,2593,1,MANUFACTURIERS DE PANNEAUX PARTICULES ET MDF,2522,2,Fabrication de panneaux en mélamine,CANADA,1994-02-28,N,,,,,,,N,500-2540  boul. Daniel-Johnson,Laval (Québec),,H7T2S3,,,,,,,,,,,,,,,,,,,,,,,PANNEAUX P.F.P. INC.,FS,1994-02-28,N,"1195, AVENUE LAVIGERIE",3 IÈME ÉTAGE,SAINTE-FOY (QUÉBEC),G1V4N3,FORPAN,,A,A,1994-05-31,2012-10-04
1140503252,N,1994-05-31,104,H,,RO,CIE,2012-10-04,104,2012-07-09,2011,2021,2021-11-15,2020,2020-11-15,2012-10-04 12:52,2593,1,MANUFACTURIERS DE PANNEAUX PARTICULES ET MDF,2522,2,Fabrication de panneaux en mélamine,CANADA,1994-02-28,N,,,,,,,N,500-2540  boul. Daniel-Johnson,Laval (Québec),,H7T2S3,,,,,,,,,,,,,,,,,,,,,,,PANNEAUX P.F.P. INC.,FS,1994-02-28,N,"1195, AVENUE LAVIGERIE",3 IÈME ÉTAGE,SAINTE-FOY (QUÉBEC),G1V4N3,UNIBOARD CANADA INC. (DIVISION LAVAL),,A,A,2009-06-15,2012-10-04
1140503252,N,1994-05-31,104,H,,RO,CIE,2012-10-04,104,2012-07-09,2011,2021,2021-11-15,2020,2020-11-15,2012-10-04 12:52,2593,1,MANUFACTURIERS DE PANNEAUX PARTICULES ET MDF,2522,2,Fabrication de panneaux en mélamine,CANADA,1994-02-28,N,,,,,,,N,500-2540  boul. Daniel-Johnson,Laval (Québec),,H7T2S3,,,,,,,,,,,,,,,,,,,,,,,PANNEAUX P.F.P. INC.,FS,1994-02-28,N,"1195, AVENUE LAVIGERIE",3 IÈME ÉTAGE,SAINTE-FOY (QUÉBEC),G1V4N3,LAC-DES-ÎLES,,A,A,1994-05-31,2009-06-15
1140503252,N,1994-05-31,104,H,,RO,CIE,2012-10-04,104,2012-07-09,2011,2021,2021-11-15,2020,2020-11-15,2012-10-04 12:52,2593,1,MANUFACTURIERS DE PANNEAUX PARTICULES ET MDF,2522,2,Fabrication de panneaux en mélamine,CANADA,1994-02-28,N,,,,,,,N,500-2540  boul. Daniel-Johnson,Laval (Québec),,H7T2S3,,,,,,,,,,,,,,,,,,,,,,,PANNEAUX P.F.P. INC.,FS,1994-02-28,N,"1195, AVENUE LAVIGERIE",3 IÈME ÉTAGE,SAINTE-FOY (QUÉBEC),G1V4N3,PANFIBRE,,A,A,1994-05-31,2012-10-04
1140503252,N,1994-05-31,104,H,,RO,CIE,2012-10-04,104,2012-07-09,2011,2021,2021-11-15,2020,2020-11-15,2012-10-04 12:52,2593,1,MANUFACTURIERS DE PANNEAUX PARTICULES ET MDF,2522,2,Fabrication de panneaux en mélamine,CANADA,1994-02-28,N,,,,,,,N,500-2540  boul. Daniel-Johnson,Laval (Québec),,H7T2S3,,,,,,,,,,,,,,,,,,,,,,,PANNEAUX P.F.P. INC.,FS,1994-02-28,N,"1195, AVENUE LAVIGERIE",3 IÈME ÉTAGE,SAINTE-FOY (QUÉBEC),G1V4N3,UNIBOARD CANADA INC.,,A,N,1990-01-01,2012-10-04
1140503252,N,1994-05-31,104,H,,RO,CIE,2012-10-04,104,2012-07-09,2011,2021,2021-11-15,2020,2020-11-15,2012-10-04 12:52,2593,1,MANUFACTURIERS DE PANNEAUX PARTICULES ET MDF,2522,2,Fabrication de panneaux en mélamine,CANADA,1994-02-28,N,,,,,,,N,500-2540  boul. Daniel-Johnson,Laval (Québec),,H7T2S3,,,,,,,,,,,,,,,,,,,,,,,PANNEAUX P.F.P. INC.,FS,1994-02-28,N,"1195, AVENUE LAVIGERIE",3 IÈME ÉTAGE,SAINTE-FOY (QUÉBEC),G1V4N3,PANVAL,,A,A,1994-05-31,2012-10-04
1140506800,N,1994-05-31,24,E,,IM,CIE,1994-05-31,400,2020-08-29,2020,2021,2021-09-01,2020,2020-09-30,2016-03-02 8:27,2599,1,FABRICATION DE STRUCTURES EN BOIS,3099,2,FABRICATION DE STRUCTURES EN MÉTAL,QUÉBEC,1993-09-01,N,,,,,,,N,235  rue de la Station,Laurier-Station (Québec),,G0S1N0,,,,,,1,O,N,N,N,3660 BOUL. Wilfrid-Hamel,Québec (Québec),,G1P1J4,6921,-,1,,,,LES STRUCTURES ULTRATEC INC.,,,,,,,,,,POUTRELLES MODERNES,,V,A,2016-03-02,
1140506800,N,1994-05-31,24,E,,IM,CIE,1994-05-31,400,2020-08-29,2020,2021,2021-09-01,2020,2020-09-30,2016-03-02 8:27,2599,1,FABRICATION DE STRUCTURES EN BOIS,3099,2,FABRICATION DE STRUCTURES EN MÉTAL,QUÉBEC,1993-09-01,N,,,,,,,N,235  rue de la Station,Laurier-Station (Québec),,G0S1N0,,,,,,1,O,N,N,N,3660 BOUL. Wilfrid-Hamel,Québec (Québec),,G1P1J4,6921,-,1,,,,LES STRUCTURES ULTRATEC INC.,,,,,,,,,,LES STRUCTURES ULTRATEC INC.,,V,N,1993-09-01,
1140444358,N,1994-05-20,24,O,,IM,CIE,1994-05-20,21,2020-09-29,2020,2021,2021-08-01,2020,2020-09-30,1981-12-01,2599,1,TRANSFORMATION DE BOIS VENTE DE POUTRELLES NON CONFORMES AU DÉTAIL,7799,2,VENTE DE POUTRELLES CONFORMES AU DÉTAIL,QUÉBEC,1978-08-03,N,,,,,,,N,910  rte des Fondateurs,Larouche (Québec),,G0W1Z0,CONTN,400,,,1994-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,ISOLATION RAYMOND INC.,,V,N,1981-12-01,
1140428831,N,1994-05-17,24,C,,IM,CIE,1994-05-17,21,2020-07-22,2019,2021,2022-07-01,2020,2021-07-01,2004-07-02,2599,1,-,5993,2,FABRICATION ET DISTRIBUTION DE SCIURE DE BOIS ET DE FARINE DE BOIS.,QUÉBEC,1950-03-23,N,,,,,,,N,8000  av. Duplessis,Saint-Hyacinthe (Québec),,J2R1S6,CONTN,400,,,1994-02-21,1,O,N,N,N,2258  rang Double,Sainte-Brigide-d'Iberville (Québec),,J0J1X0,5993,FABRICATION ET DISTRIBUTION DE SCIURE DE BOIS ET DE FARINE DE BOIS,1,,,,INDUSTRIES P.W.I INC.,,,,,,,,,,"P.W.I. TRANSIT, DIVISION DE INDUSTRIES P.W.I. INC.",,A,A,1996-08-14,2004-07-02
1140428831,N,1994-05-17,24,C,,IM,CIE,1994-05-17,21,2020-07-22,2019,2021,2022-07-01,2020,2021-07-01,2004-07-02,2599,1,-,5993,2,FABRICATION ET DISTRIBUTION DE SCIURE DE BOIS ET DE FARINE DE BOIS.,QUÉBEC,1950-03-23,N,,,,,,,N,8000  av. Duplessis,Saint-Hyacinthe (Québec),,J2R1S6,CONTN,400,,,1994-02-21,1,O,N,N,N,2258  rang Double,Sainte-Brigide-d'Iberville (Québec),,J0J1X0,5993,FABRICATION ET DISTRIBUTION DE SCIURE DE BOIS ET DE FARINE DE BOIS,1,,,,INDUSTRIES P.W.I INC.,,,,,,,,,,INDUSTRIES P.W.I INC.,P.W.I. INDUSTRIES INC.,V,N,1981-04-01,
1140376253,,1994-05-09,400,A,,RO,CIE,2000-05-08,400,2000-05-08,1999,2021,2021-11-15,2020,2020-11-15,2000-05-08,2593,1,"FABRICATON ET MISE EN MARCHÉ DE PRODUITS GRANULAIRE, MINÉRAL ET ORGANIQUE",,,,QUÉBEC,1994-04-15,N,,,,,,,N,"23, RUE DES ÉRABLES",CABANO QC,,G0L1E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LES PRODUITS DE RECYCLAGE BIO-FORÊT INC.,,A,N,1994-04-15,1994-12-16
1140376253,,1994-05-09,400,A,,RO,CIE,2000-05-08,400,2000-05-08,1999,2021,2021-11-15,2020,2020-11-15,2000-05-08,2593,1,"FABRICATON ET MISE EN MARCHÉ DE PRODUITS GRANULAIRE, MINÉRAL ET ORGANIQUE",,,,QUÉBEC,1994-04-15,N,,,,,,,N,"23, RUE DES ÉRABLES",CABANO QC,,G0L1E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRODUITS DE RECYCLAGE RBF INC.,,A,N,1994-12-16,2000-05-08
1140825309,N,1994-07-20,24,E,,RO,CIE,2019-02-01,400,2018-05-01,2017,2021,2021-11-15,2020,2020-11-15,2019-02-01 13:08,6533,1,VENTES DE PORTES ET BOISERIES,2592,2,MANUFACTURIER DE FINITION INTÉRIEURE,QUÉBEC,1993-01-11,N,,,,,,,N,5  rue des Pionniers,Saint-Rémi (Québec),,J0L2L0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B.G. EXPORTATION,,A,A,2004-03-10,2019-02-01
1140825309,N,1994-07-20,24,E,,RO,CIE,2019-02-01,400,2018-05-01,2017,2021,2021-11-15,2020,2020-11-15,2019-02-01 13:08,6533,1,VENTES DE PORTES ET BOISERIES,2592,2,MANUFACTURIER DE FINITION INTÉRIEURE,QUÉBEC,1993-01-11,N,,,,,,,N,5  rue des Pionniers,Saint-Rémi (Québec),,J0L2L0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSPORT B.G.,,A,A,2004-03-10,2019-02-01
1140825309,N,1994-07-20,24,E,,RO,CIE,2019-02-01,400,2018-05-01,2017,2021,2021-11-15,2020,2020-11-15,2019-02-01 13:08,6533,1,VENTES DE PORTES ET BOISERIES,2592,2,MANUFACTURIER DE FINITION INTÉRIEURE,QUÉBEC,1993-01-11,N,,,,,,,N,5  rue des Pionniers,Saint-Rémi (Québec),,J0L2L0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LES INSTALLATIONS B.G.,,A,A,2004-03-10,2019-02-01
1140825309,N,1994-07-20,24,E,,RO,CIE,2019-02-01,400,2018-05-01,2017,2021,2021-11-15,2020,2020-11-15,2019-02-01 13:08,6533,1,VENTES DE PORTES ET BOISERIES,2592,2,MANUFACTURIER DE FINITION INTÉRIEURE,QUÉBEC,1993-01-11,N,,,,,,,N,5  rue des Pionniers,Saint-Rémi (Québec),,J0L2L0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOISERIES B.G. INC.,,A,N,1993-01-11,2019-02-01
1140825309,N,1994-07-20,24,E,,RO,CIE,2019-02-01,400,2018-05-01,2017,2021,2021-11-15,2020,2020-11-15,2019-02-01 13:08,6533,1,VENTES DE PORTES ET BOISERIES,2592,2,MANUFACTURIER DE FINITION INTÉRIEURE,QUÉBEC,1993-01-11,N,,,,,,,N,5  rue des Pionniers,Saint-Rémi (Québec),,J0L2L0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GESTION B.G.,,A,A,2004-03-10,2019-02-01
1140781361,,1994-07-13,24,O,,RO,CIE,2000-05-05,400,1997-01-10,1996,2021,2021-11-15,2020,2020-11-15,2000-05-05,2599,1,FABRICATION DE BASES DE MEUBLES,7511,2,"ACHAT, VENTE ET LOCATION D'IMMEUBLES",QUÉBEC,1991-08-26,N,,,,,,,N,"30, RUE DES FRÈRES",VICTORIAVILLE QC,,G6P5Y5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LES IMMEUBLES NOËL MORISSETTE,,A,A,1994-10-27,1996-08-02
1140781361,,1994-07-13,24,O,,RO,CIE,2000-05-05,400,1997-01-10,1996,2021,2021-11-15,2020,2020-11-15,2000-05-05,2599,1,FABRICATION DE BASES DE MEUBLES,7511,2,"ACHAT, VENTE ET LOCATION D'IMMEUBLES",QUÉBEC,1991-08-26,N,,,,,,,N,"30, RUE DES FRÈRES",VICTORIAVILLE QC,,G6P5Y5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GESTION EMMANUEL M.T.,,A,A,1996-08-02,2000-05-05
1140781361,,1994-07-13,24,O,,RO,CIE,2000-05-05,400,1997-01-10,1996,2021,2021-11-15,2020,2020-11-15,2000-05-05,2599,1,FABRICATION DE BASES DE MEUBLES,7511,2,"ACHAT, VENTE ET LOCATION D'IMMEUBLES",QUÉBEC,1991-08-26,N,,,,,,,N,"30, RUE DES FRÈRES",VICTORIAVILLE QC,,G6P5Y5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOMA,,A,A,1994-10-27,1997-01-10
1140781361,,1994-07-13,24,O,,RO,CIE,2000-05-05,400,1997-01-10,1996,2021,2021-11-15,2020,2020-11-15,2000-05-05,2599,1,FABRICATION DE BASES DE MEUBLES,7511,2,"ACHAT, VENTE ET LOCATION D'IMMEUBLES",QUÉBEC,1991-08-26,N,,,,,,,N,"30, RUE DES FRÈRES",VICTORIAVILLE QC,,G6P5Y5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2864-3070 QUÉBEC INC.,,A,M,1991-08-26,2000-05-05
