"Produit intérieur brut, en termes de dépenses, provinciaux et territoriaux, annuel (x 1 000 000)"
"Annuelle"
"Tableau: 36-10-0222-01 (anciennement CANSIM 384-0038)"
"Géographie: Canada, Province ou territoire"

"";"Québec";;;;;;;;;;;;;;;;;;;;;;
"Exportations de biens aux autres pays";"66 147";"72 557";"83 467";"95 266";"89 415";"88 514";"83 313";"87 401";"90 479";"90 521";"89 575";"86 866";"76 834";"75 053";"72 687";"74 119";"74 723";"81 643";"84 444";"84 531";"85 808";"90 539";"91 116"
"Exportations de services aux autres pays";"10 631";"12 137";"12 674";"14 469";"14 813";"15 076";"15 116";"14 897";"14 561";"15 490";"15 415";"15 041";"16 212";"16 450";"16 801";"17 363";"18 206";"19 588";"19 752";"21 337";"21 562";"22 560";"23 230"
"Exportations aux autres provinces";"49 274";"49 131";"51 920";"54 271";"57 047";"57 578";"59 349";"58 302";"59 352";"61 086";"65 097";"62 709";"65 015";"66 882";"68 309";"68 801";"68 782";"68 835";"69 306";"67 894";"69 181";"70 076";"71 971"
"Exportations de biens aux autres provinces";"28 126";"26 677";"28 416";"28 432";"31 107";"31 413";"32 525";"31 305";"30 833";"31 316";"35 731";"32 688";"34 970";"36 358";"36 869";"36 955";"36 182";"34 429";"35 320";"34 633";"34 304";"34 576";"34 798"
"Exportations de services aux autres provinces";"20 974";"22 413";"23 441";"25 904";"25 865";"26 087";"26 729";"26 972";"28 627";"29 940";"29 287";"30 095";"30 046";"30 518";"31 439";"31 846";"32 596";"34 428";"33 981";"33 255";"34 930";"35 569";"37 321"
"Moins : importations de biens et services";"116 975";"122 980";"134 257";"147 298";"141 298";"144 304";"149 262";"156 624";"163 584";"169 052";"177 352";"175 185";"168 806";"176 659";"178 900";"182 553";"183 053";"180 611";"183 955";"183 219";"197 037";"201 685";"205 459"
"Importations des autres pays";"69 433";"74 305";"82 211";"89 804";"83 674";"84 521";"87 492";"93 607";"100 514";"104 872";"111 373";"112 404";"106 946";"115 336";"116 859";"120 431";"121 483";"118 769";"122 764";"123 720";"133 813";"137 992";"140 843"
"Importations de biens des autres pays";"60 189";"65 450";"73 207";"80 639";"74 789";"75 051";"77 431";"83 237";"89 777";"93 029";"98 860";"100 085";"92 938";"99 373";"100 569";"103 696";"103 430";"101 118";"103 891";"103 858";"113 816";"117 271";"120 560"
"Importations de services des autres pays";"9 379";"8 986";"9 170";"9 375";"9 060";"9 600";"10 164";"10 529";"10 953";"12 005";"12 691";"12 515";"14 068";"15 965";"16 290";"16 735";"18 032";"17 630";"18 842";"19 814";"20 012";"20 729";"20 365"
"Importations des autres provinces";"47 892";"48 664";"51 710";"57 233";"58 049";"60 479";"62 473";"63 479";"63 262";"64 297";"66 043";"62 756";"61 886";"61 322";"62 041";"62 122";"61 582";"61 862";"61 104";"59 353";"63 054";"63 506";"64 420"
"Importations de biens des autres provinces";"24 665";"24 061";"25 094";"27 285";"28 547";"31 427";"32 561";"31 887";"30 772";"30 659";"33 049";"30 074";"27 775";"26 776";"27 833";"27 512";"27 748";"25 422";"23 352";"22 307";"24 004";"23 482";"23 366"
"Importations de services des autres provinces";"23 025";"24 422";"26 429";"29 763";"29 253";"28 682";"29 522";"31 303";"32 326";"33 561";"32 736";"32 556";"34 108";"34 547";"34 204";"34 610";"33 834";"36 517";"37 934";"37 241";"39 243";"40 260";"41 327"
"Divergence statistique";"-85";"150";"327";"-370";"-706";"-395";"-124";"-587";"-587";"-545";"16";"-57";"-109";"-252";"-152";"-240";"-53";"96";"-21";"284";"-175";"-168";"37"
"Produit intérieur brut aux prix du marché";"256 374";"264 665";"280 467";"292 882";"297 992";"306 269";"309 948";"317 700";"322 404";"326 298";"334 273";"340 867";"338 180";"344 934";"351 401";"355 254";"359 993";"365 719";"368 982";"374 899";"385 620";"396 838";"407 590"
"Demande intérieure finale";"246 916";"253 354";"262 774";"272 726";"280 752";"291 779";"301 999";"313 041";"319 040";"327 400";"340 490";"349 685";"350 820";"363 224";"370 612";"376 119";"377 198";"377 481";"379 031";"384 814";"400 741";"411 720";"421 357"

Légende des symboles:

Renvois :

"Comment citer le produit :Statistique Canada. Tableau 36-10-0222-01 Produit intérieur brut, en termes de dépenses, provinciaux et territoriaux, annuel (x 1 000 000)"
https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3610022201
DOI :https://doi.org/10.25318/3610022201-fra
