"Industries du film et de l'enregistrement sonore";"60,4E";"31,2B";"53,9E";"39,6E"
"Radiotélévision (sauf par Internet)";"88,1B";"49,1E";"88,1B";"11,9B"
"Télécommunications";"92,5B";"71,8B";"77,8B";"7,5B"
"Traitement de données, hébergement de données et services connexes";"100,0A";"88,9A";"91,7B";"0,0E"
"Autres services d'information";"100,0A";"84,7B";"93,6A";"0,0E"
"Finance et assurances excluant les autorités monétaires 19";"83,8B";"67,7B";"80,9B";"16,2B"
"Intermédiation financière et activités connexes et fonds et autres instruments financiers 20";"93,8B";"86,3B";"90,2B";"6,2B"
"Valeurs mobilières, contrats de marchandises et autres activités d'investissement financier connexes";"64,5B";"50,6B";"64,5B";"35,5B"
"Intermédiation et courtage de valeurs mobilières et de contrats de marchandises";"90,0E";"74,0E";"90,0E";"10,0E"
"Bourses de valeurs mobilières et de marchandises et autres activités d'investissement financier 21";"55,6E";"42,5E";"55,6E";"44,4E"
"Sociétés d'assurance et activités connexes";"77,5B";"47,0B";"74,4B";"22,5B"
"Services immobiliers et services de location et de location à bail";"67,9E";"43,1E";"61,8E";"32,1E"
"Services professionnels, scientifiques et techniques";"87,0B";"72,6B";"84,5B";"13,0B"
"Services juridiques";"F";"10,0B";"F";"F"
"Services de comptabilité, de préparation de déclarations de revenus, de tenue de livres et de paye";"57,5E";"32,6E";"57,5E";"42,5E"
"Architecture, génie et services connexes";"90,5E";"63,8E";"90,1E";"9,5E"
"Services spécialisés de design et autres services professionnels, scientifiques et techniques 22";"F";"F";"F";"F"
"Conception de systèmes informatiques et services connexes";"98,6A";"95,9A";"97,6A";"1,4A"
"Services de conseils en gestion et de conseils scientifiques et techniques";"91,3E";"90,2E";"91,3E";"8,7E"
"Services de recherche et de développement scientifiques";"90,0B";"90,0B";"63,1E";"10,0B"
"Publicité, relations publiques et services connexes";"83,7E";"82,7E";"80,9E";"16,3E"
"Gestion de sociétés et d'entreprises";"63,2B";"43,3B";"61,7B";"36,8B"
"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement";"70,4B";"37,6B";"62,0B";"29,6B"

Légende des symboles:
..;indisponible pour une période de référence précise;
X;confidentiel en vertu des dispositions de la Loi sur la statistique;
E;à utiliser avec prudence;
F;trop peu fiable pour être publié;
A;qualité des données : excellente;
B;qualité des données : très bonne;

Renvois :
1;"Les indicateurs de qualité sont basés sur l'erreur-type (ET) et le nombre d'observations. Les indicateurs de qualité indiquent ce qui suit : A est très fiable (ET entre 0 % et 2,49 %); B est fiable (ET entre 2,50 % et 7,49 %); E est à utiliser avec précaution (ET entre 7,50 % et 14,99 %); F est trop peu fiable pour être publié (ET supérieur ou égal à 15,00 %)."
2;Ce tableau remplace le tableau archivé 27-10-0155-01 en raison de la publication de la 4e Édition du Manuel d'Oslo.
3;La distribution régionale par taille d'entreprise n'est pas disponible.
4;"Comprend les codes 11, 21, 22, 23, 31-33, 41, 44-45, 48-49, 51, 52, 53, 54, 55 et 56 du Système de classification des industries de l'Amérique du Nord (SCIAN)."
5;"Comprend les codes 313, 314, 315 et 316 du Système de classification des industries de l'Amérique du Nord (SCIAN)."
6;"Comprend les codes 3251, 3252, 3253, 3255, 3256 et 3259 du Système de classification des industries de l'Amérique du Nord (SCIAN)."
7;"Comprend les codes 32611, 32612, 32613, 32614, 32615, 32616, 326191, 326196 et 326198 du Système de classification des industries de l'Amérique du Nord (SCIAN)."
8;Comprend les codes 3341 et 3342 du Système de classification des industries de l'Amérique du Nord (SCIAN).
9;Comprend les codes 3343 et 3346 du Système de classification des industries de l'Amérique du Nord (SCIAN).
10;Comprend les codes 3361 et 3362 du Système de classification des industries de l'Amérique du Nord (SCIAN).
11;"Comprend les codes 3365, 3366 et 3369 du Système de classification des industries de l'Amérique du Nord (SCIAN)."
12;"Comprend les codes 41, 44-45, 48-49, 51, 52, 53, 54, 55 et 56 du Système de classification des industries de l'Amérique du Nord (SCIAN)."
13;"Comprend les codes 4141, 4142, 4143 et 4144 du Système de classification des industries de l'Amérique du Nord (SCIAN)."
14;"Comprend les codes 4171, 4172 et 4179 du Système de classification des industries de l'Amérique du Nord (SCIAN)."
15;"Comprend les codes 481, 482, 483, 484, 485, 486, 487 et 488 du Système de classification des industries de l'Amérique du Nord (SCIAN)."
16;Comprend les codes 482 et 483 du Système de classification des industries de l'Amérique du Nord (SCIAN).
17;Comprend les codes 487 et 488 du Système de classification des industries de l'Amérique du Nord (SCIAN).
18;"Comprend les codes 491, 492 et 493 du Système de classification des industries de l'Amérique du Nord (SCIAN)."
19;Comprend les codes 52 sauf 521 du Système de classification des industries de l'Amérique du Nord (SCIAN).
20;Comprend les codes 522 et 526 du Système de classification des industries de l'Amérique du Nord (SCIAN).
21;Comprend les codes 5232 et 5239 du Système de classification des industries de l'Amérique du Nord (SCIAN).
22;Comprend les codes 5414 et 5419 du Système de classification des industries de l'Amérique du Nord (SCIAN).

"Comment citer le produit :Statistique Canada. Tableau 27-10-0361-01 Introduction de différents types d'innovation, selon l'industrie et la taille de l’entreprise"
https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=2710036101
DOI :https://doi.org/10.25318/2710036101-fra
