"Textile, clothing, footwear, home entertainment equipment, household appliance, home furnishings and personal goods merchant wholesalers 13","89.2B","62.7B","85.7B","10.8B"
"Motor vehicle and motor vehicle parts and accessories merchant wholesalers","80.4B","56.7B","72.6B","19.6B"
"Building material and supplies merchant wholesalers","71.7B","52.8B","66.2B","28.3B"
"Machinery, equipment and supplies merchant wholesalers","92.1B","70.8B","84.6B","7.9B"
"Computer and communications equipment and supplies merchant wholesalers","86.2B","81.0B","81.7B","13.8B"
"Farm, lawn, garden machinery and equipment, construction, forestry, mining, industrial machinery equipment and supplies, and other machinery, equipment and supplies merchant wholesalers 14","93.4B","68.5E","85.3B","6.6B"
"Miscellaneous merchant wholesalers","86.4B","47.2B","84.1B","13.6B"
"Business-to-business electronic markets, and agents and brokers","90.1B","70.6B","85.0B","9.9B"
"Retail trade","78.8B","49.6B","69.9B","21.2B"
"Transportation and warehousing","76.8A","50.3B","69.8B","23.2A"
"All transportation 15","77.3B","49.7B","69.9B","22.7B"
"Air transportation","75.5B","62.8B","65.5B","24.5B"
"Rail and water transportation 16","57.2B","37.0B","55.3B","42.8B"
"Truck transportation","81.4B","47.9B","77.3B","18.6B"
"Transit and ground passenger transportation","55.6E","42.1E","37.1B","44.4E"
"Pipeline transportation","87.4B","34.8E","87.4B","12.6B"
"Scenic and sightseeing transportation and support activities for transportation 17","82.2B","57.4B","73.3B","17.8B"
"Postal services, couriers and messengers, warehousing and storage 18","72.4B","55.8B","69.1B","27.6B"
"Information and cultural industries","88.8A","71.1A","79.8B","11.2A"
"Publishing industries (except internet)","97.7A","85.3B","87.8B","2.3A"
"Newspaper, periodical, book and directory publishers","92.6B","78.4B","83.7B","7.4B"
"Software publishers","99.7A","88.2B","89.4B","0.3A"
"Motion picture and sound recording industries","69.6B","42.8B","66.0B","30.4B"
"Broadcasting (except internet)","82.3B","66.3B","77.7B","17.7B"
"Telecommunications","93.3A","74.8B","76.2B","6.7A"
"Data processing, hosting and related services","92.2A","77.8B","86.3B","7.8A"
"Other information services","93.3B","74.2B","88.5B","6.7B"
"Finance and insurance excluding monetary authorities 19","83.0A","62.1B","78.3B","17.0A"
"Credit intermediation and related activities and other funds from financial vehicles 20","90.3B","77.8B","85.9B","9.7B"
"Securities, commodity contracts, and other financial investment and related activities","72.4B","46.0B","70.0B","27.6B"
"Securities and commodity contracts intermediation and brokerage","82.3B","67.4B","80.1B","17.7B"
"Securities and commodity exchanges and other financial investment activities 21","69.6B","39.8E","67.1E","30.4B"
"Insurance carriers and related activities","83.0B","57.7B","76.5B","17.0B"
"Real estate and rental and leasing","76.5B","51.5B","68.6B","23.5B"
"Professional, scientific and technical services","89.1A","70.8A","82.2A","10.9A"
"Legal services","83.1B","36.9B","82.2B","16.9B"
"Accounting, tax preparation, bookkeeping and payroll services","66.2B","52.4B","59.2B","33.8B"
"Architectural, engineering and related services","93.3B","63.1B","88.5B","6.7B"
"Specialized design services and all other professional, scientific and technical services 22","85.9B","69.4B","69.0E","14.1B"
"Computer systems design and related services","97.9A","89.6B","91.5B","2.1A"
"Management, scientific and technical consulting services","89.1B","79.6B","82.9B","10.9B"
"Scientific research and development services","87.5B","86.9B","76.5B","12.5B"
"Advertising, public relations and related services","86.8B","73.4B","81.0B","13.2B"
"Management of companies and enterprises","60.8A","38.3A","58.6A","39.2A"
"Administrative and support, waste management and remediation services","78.5B","46.4B","70.9B","21.5B"

Symbol legend:
E,use with caution,
A,data quality: excellent,
B,data quality: very good,

Footnotes:
1,Data quality indicators are based on the standard error (SE) and number of observations. Quality indicators indicate the following: A is very reliable (SE between 0% and 2.49%); B is reliable (SE between 2.50% and 7.49%); E is use with caution (SE between 7.50% and 14.99%); F is too unreliable to be published (SE greater than or equal to 15.00%).
2,This table replaces archived table 27-10-0155-01 due to the release of the 4th Edition of the Oslo Manual.
3,Regional distribution by size of enterprise is not available.
4,"Includes North American Industry Classification System (NAICS) codes 11, 21, 22, 23, 31-33, 41, 44-45, 48-49, 51, 52, 53, 54, 55 and 56."
5,"Includes North American Industry Classification System (NAICS) codes 313, 314, 315 and 316."
6,"Includes North American Industry Classification System (NAICS) codes 3251, 3252, 3253, 3255, 3256 and 3259."
7,"Includes North American Industry Classification System (NAICS) codes 32611, 32612, 32613, 32614, 32615, 32616, 326191, 326196 and 326198."
8,Includes North American Industry Classification System (NAICS) codes 3341 and 3342.
9,Includes North American Industry Classification System (NAICS) codes 3343 and 3346.
10,Includes North American Industry Classification System (NAICS) codes 3361 and 3362.
11,"Includes North American Industry Classification System (NAICS) codes 3365, 3366 and 3369."
12,"Includes North American Industry Classification System (NAICS) codes 41, 44-45, 48-49, 51, 52, 53, 54, 55 and 56."
13,"Includes North American Industry Classification System (NAICS) codes 4141, 4142, 4143 and 4144."
14,"Includes North American Industry Classification System (NAICS) codes 4171, 4172 and 4179."
15,"Includes North American Industry Classification System (NAICS) codes 481, 482, 483, 484, 485, 486, 487 and 488."
16,Includes North American Industry Classification System (NAICS) codes 482 and 483.
17,Includes North American Industry Classification System (NAICS) codes 487 and 488.
18,"Includes North American Industry Classification System (NAICS) codes 491, 492 and 493."
19,Includes North American Industry Classification System (NAICS) codes 52 except 521.
20,Includes North American Industry Classification System (NAICS) codes 522 and 526.
21,Includes North American Industry Classification System (NAICS) codes 5232 and 5239.
22,Includes North American Industry Classification System (NAICS) codes 5414 and 5419.

"How to cite: Statistics Canada. Table 27-10-0361-01 Introduction of different types of innovation, by industry and enterprise size"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2710036101
DOI: https://doi.org/10.25318/2710036101-eng
